Source,Target,Type,Id,Label,timeset,Weight
11227609,144596911,Directed,366,,,1
11227609,152780422,Directed,367,,,1
11227609,156763202,Directed,368,,,1
11227609,161246244,Directed,369,,,1
11227609,161359926,Directed,370,,,1
11227609,230662240,Directed,371,,,1
11227609,241130407,Directed,372,,,1
11227609,242463897,Directed,373,,,1
11227609,284700336,Directed,374,,,1
11227609,309380107,Directed,375,,,1
11227609,310516983,Directed,376,,,1
11227609,313046065,Directed,377,,,1
11227609,384545072,Directed,378,,,1
11629386,6748955,Directed,379,,,1
11629386,10456983,Directed,380,,,1
11629386,13400887,Directed,381,,,1
11629386,13493426,Directed,382,,,1
11629386,24364207,Directed,383,,,1
11629386,50179770,Directed,384,,,1
11629386,104931551,Directed,385,,,1
11629386,155317574,Directed,386,,,1
11629386,171358806,Directed,387,,,1
11629386,329769278,Directed,388,,,1
11629386,509008114,Directed,389,,,1
11868865,1687066,Directed,390,,,1
11868865,1895348,Directed,391,,,1
11868865,15604345,Directed,392,,,1
11868865,64971391,Directed,393,,,1
11868865,298914898,Directed,394,,,1
12001483,161246244,Directed,395,,,1
12613550,44803161,Directed,396,,,1
13400887,1024192,Directed,397,,,1
13400887,4336416,Directed,398,,,1
13400887,5400033,Directed,399,,,1
13400887,10456983,Directed,400,,,1
13400887,11629386,Directed,401,,,1
13400887,13493426,Directed,402,,,1
13400887,20476617,Directed,403,,,1
13400887,24364207,Directed,404,,,1
13400887,27942474,Directed,405,,,1
13400887,37478140,Directed,406,,,1
13400887,55672956,Directed,407,,,1
13400887,140724383,Directed,408,,,1
13400887,155317574,Directed,409,,,1
13400887,161359926,Directed,410,,,1
13400887,171358806,Directed,411,,,1
13400887,227448827,Directed,412,,,1
13400887,241130407,Directed,413,,,1
13400887,323551446,Directed,414,,,1
13400887,329769278,Directed,415,,,1
13493426,1024192,Directed,416,,,1
13493426,4336416,Directed,417,,,1
13493426,7877958,Directed,418,,,1
13493426,10456983,Directed,419,,,1
13493426,11629386,Directed,420,,,1
13493426,13400887,Directed,421,,,1
